2021-05-21 08:18:46.232 - Thread:  19 ->  Log Started
2021-05-21 08:18:46.233 - Thread:  19 ->  Timezone (local - UTC): 1h
2021-05-21 08:18:46.233 - Thread:  19 ->  App Version: 01_198_031
2021-05-21 08:18:46.254 - Thread:  19 ->  Is official: True [NO][IS][NAMP]
2021-05-21 08:18:46.255 - Thread:  19 ->  Branch / Sandbox: DedicatedServer
2021-05-21 08:18:46.255 - Thread:  19 ->  Environment.ProcessorCount: 16
2021-05-21 08:18:46.369 - Thread:  19 ->  Environment.OSVersion: Microsoft Windows 10 Home (Microsoft Windows NT 6.2.9200.0)
2021-05-21 08:18:46.369 - Thread:  19 ->  Environment.CommandLine: "G:\SteamLibrary\steamapps\common\SpaceEngineersDedicatedServer\DedicatedServer64\SpaceEngineersDedicated.exe"
2021-05-21 08:18:46.369 - Thread:  19 ->  Environment.Is64BitProcess: True
2021-05-21 08:18:46.369 - Thread:  19 ->  Environment.Is64BitOperatingSystem: True
2021-05-21 08:18:46.370 - Thread:  19 ->  Environment.Version: .NET Framework 4.8.4341.0
2021-05-21 08:18:46.370 - Thread:  19 ->  Environment.CurrentDirectory: C:\WINDOWS\system32
2021-05-21 08:18:46.370 - Thread:  19 ->  CPU Info: AMD Ryzen 7 3800X 8-Core Processor             
2021-05-21 08:18:46.370 - Thread:  19 ->  IntPtr.Size: 8
2021-05-21 08:18:46.370 - Thread:  19 ->  Default Culture: 
2021-05-21 08:18:46.370 - Thread:  19 ->  Default UI Culture: 
2021-05-21 08:18:46.652 - Thread:  19 ->  MyScreenManager()
2021-05-21 08:18:46.830 - Thread:  19 ->  MySandboxGame.Constructor() - START
2021-05-21 08:18:46.831 - Thread:  19 ->     Game dir: G:\SteamLibrary\steamapps\common\SpaceEngineersDedicatedServer\DedicatedServer64
2021-05-21 08:18:46.831 - Thread:  19 ->     Content dir: G:\SteamLibrary\steamapps\common\SpaceEngineersDedicatedServer\Content
2021-05-21 08:18:47.968 - Thread:  19 ->     Preallocate - START
